speciesid	SRR6154999	SRR6155000	SRR6155001	SRR6155002	SRR6155003	SRR6155004	SRR6155005	SRR6155006	SRR6155007	SRR6155008	SRR6155009	SRR6155010	SRR6155011	SRR6155012	SRR6155013	SRR5947117	SRR5947118	SRR5947119	SRR5947120	SRR5947121	SRR5947122	SRR5947123	SRR5947124	SRR5947125	SRR5947126	SRR5947127	SRR5947128	SRR5947129	SRR5947130	SRR5947131
110211	85	58	50	65	72	76	46	71	74	52	99	66	66	76	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118090	151	121	87	135	119	109	98	120	111	88	186	100	114	92	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105699	200	177	237	201	165	200	179	241	238	115	338	195	186	141	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107914	152	103	124	150	159	147	98	167	136	153	236	212	126	118	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116950	1320	1159	1036	826	1398	1521	777	1569	1343	1044	1005	1066	1033	799	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116103	1075	1120	967	646	1363	1362	805	1406	1131	970	848	894	932	733	857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102821	956	902	853	666	1106	1070	580	1196	965	806	751	802	725	617	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104003	1039	1093	1019	741	1255	1364	777	1343	1213	1104	855	850	919	702	657	845	1139	921	1151	1323	1398	1049	1255	1101	845	840	760	1073	1137	1080
104335	559	547	462	409	675	627	343	700	582	440	476	496	463	347	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119886	367	352	304	292	423	438	254	468	394	322	336	287	284	230	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101350	789	534	516	546	811	764	421	892	604	520	700	559	603	463	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138604	141	131	133	139	186	155	123	206	138	117	146	125	108	116	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121017	73	71	80	59	114	112	53	127	76	84	95	83	59	51	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129748	64	56	73	61	70	78	53	55	63	48	81	55	59	74	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107680	49	47	55	47	50	70	53	89	58	50	47	47	44	32	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141356	5454	6861	1586	5318	7519	2377	1981	2995	2610	2444	6226	3984	2636	7317	4058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106052	1344	823	928	1288	1013	964	611	858	888	614	2205	1695	1313	993	2138	190	92	263	207	94	370	135	102	231	578	327	328	274	176	119
131013	1464	1293	1094	1178	1709	1482	816	1735	1430	947	1924	1688	1457	1274	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115273	875	586	695	597	674	1042	470	1047	666	633	1074	992	968	762	1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101462	769	496	833	443	615	898	531	1222	541	959	974	923	918	528	919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124790	475	226	244	269	282	481	177	277	245	127	596	562	556	341	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113858	297	165	238	189	217	340	171	329	234	219	392	298	315	206	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113301	294	174	246	185	232	413	156	399	229	231	344	290	319	239	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138846	220	132	144	148	144	224	115	157	140	89	262	211	255	156	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115659	448	224	291	281	245	433	245	584	295	358	493	455	435	266	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145353	313	252	161	226	375	358	161	219	255	108	356	437	293	239	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109648	426	176	203	215	268	515	184	197	291	120	469	528	557	337	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
